시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하rur개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강동구,고덕그라시움(국평),https://new.land.naver.com/complexes/113907,2019.09.27.,"4,932세대(공공임대 140세대 포함, 총53동)",18억9천,12억2천500,15억5천,15억5천,-17,73건,0건,10억,42,7억5천,36건
서울특별시,강동구,고덕아르테온(국평),https://new.land.naver.com/complexes/119341,2020.02.26.,"4,066세대(기타임대 108세대 포함, 총41동)",18억6천500,11억,11억,14억,-24,102건,14건,8억8천,46,6억8천,57건
서울특별시,강동구,고덕 아이파크(국평),https://new.land.naver.com/complexes/25874,2011.12.28.,"1,142세대(장기전세 128세대 포함, 총14동)",16억2천,11억,14억2천500,14억,-13,11건,0건,7억2천,45,6억8천,4건
서울특별시,강동구,래미안힐스테이트고덕(국평),https://new.land.naver.com/complexes/108187,2016.12.29.,"3,658세대(기타임대 211세대 포함, 총51동)",17억2천,10억8천,13억6천,13억9천,-19,39건,0건,12억,55,6억4천,20건
서울특별시,강동구,고덕센트럴IPARK(국평),,2019.12.30.,"1,745세대(기타임대 96세대 포함, 총19동)",16억3천500,11억3천,0,13억5천,-17,36건,0건,7억4천,49,6억7천,17건
서울특별시,강동구,한양(국평),https://new.land.naver.com/complexes/1315,1986.05.10.,540세대(6동),16억,11억3천,0,13억5천,-15,4건,0건,5억5천,38,5억5천,2건
서울특별시,강동구,래미안강동팰리스(국평),https://new.land.naver.com/complexes/107537,2017.07.31.,999세대(3동),17억6천,9억6천,12억9천,13억,-26,20건,9건,8억3천,54,8억,3건
서울특별시,강동구,롯데캐슬퍼스트(국평),https://new.land.naver.com/complexes/22570,2008.09.25.,"3,226세대(40동)",16억4천500,10억,12억5천,13억,-20,17건,3건,7억,48,6억8천,3건
서울특별시,강동구,고덕자이(국평),"https://new.land.naver.com/complexes?ms=37.5653,127.1561,16&e=RETAIL",2021.01.07.,"1,824세대(기타임대 75세대 포함, 총19동)",16억4천500,9억3천,0,13억,-20,29건,1건,13억,81,6억8천,5건
서울특별시,강동구,신동아(국평),https://new.land.naver.com/complexes/1312,1986.02.08.,570세대(7동),15억4천500,11억,0,12억9천,-16,7건,0건,5억,33,4억7천,4건
서울특별시,강동구,고덕숲아이파크(국평),https://new.land.naver.com/complexes/110765,2018.03.08.,"687세대(기타임대 27세대 포함, 총13동)",16억2천,10억8천,12억3천,12억7천,-21,13건,2건,6억5천,46,6억3천,4건
서울특별시,강동구,고덕롯데캐슬베네루체(국평),https://new.land.naver.com/complexes/117309,2019.12.30.,"1,859세대(기타임대 97세대 포함, 총20동)",16억8천,10억,11억5천,12억2천,-27,53건,35건,7억5천,52,6억,37건
서울특별시,강동구,이편한세상강동에코포레(국평),https://new.land.naver.com/complexes/119933,2020.04.14.,"366세대(기타임대 38세대 포함, 총6동)",12억9천500,10억6천,0,12억,-7,4건,0건,7억6천,61,6억,5건
서울특별시,강동구,삼익그린11차(국평),https://new.land.naver.com/complexes/8853,1986.06.30.,152세대(1동),43억4천,9억7천,0,12억,-72,1건,1건,,,,
서울특별시,강동구,둔촌푸르지오(국평),https://new.land.naver.com/complexes/27212,2010.03.12.,800세대(10동),15억4천500,10억6천,12억,12억,-22,29건,16건,7억,52,5억7천500,7건
서울특별시,강동구,현대홈타운(국평),https://new.land.naver.com/complexes/9682,2004.08.27.,568세대(9동),14억7천,11억3천,0,11억9천,-19,7건,0건,,,,
서울특별시,강동구,힐스테이트 강동 리버뷰(국평),https://new.land.naver.com/complexes/116836,2019.11.12.,"460세대(기타임대 147세대 포함, 총5동)",14억,10억6천,11억4천500,11억8천,-15,27건,0건,9억5천,56,8억,8건
서울특별시,강동구,고덕 아이파크(소형),https://new.land.naver.com/complexes/25874,2011.12.28.,"1,142세대(장기전세 128세대 포함, 총14동)",14억,9억5천,10억7천,11억8천,-15,6건,0건,,,,
서울특별시,강동구,고덕그라시움(소형),https://new.land.naver.com/complexes/113907,2019.09.27.,"4,932세대(공공임대 140세대 포함, 총53동)",15억3천,9억3천,11억7천,11억8천,-22,126건,30건,6억7천,46,5억7천,44건
서울특별시,강동구,래미안솔베뉴(소형),https://new.land.naver.com/complexes/113432,2019.06.24.,"1,900세대(기타임대 156세대 포함, 총13동)",14억4천500,9억3천,11억4천,11억7천,-19,10건,0건,6억5천,52,6억5천,3건
서울특별시,강동구,프라이어팰리스(국평),https://new.land.naver.com/complexes/19578,2007.07.09.,"1,622세대(22동)",15억3천,10억4천700,11억2천500,11억5천,-24,22건,15건,7억2천,51,6억5천,4건
서울특별시,강동구,고덕아르테온(소형),https://new.land.naver.com/complexes/119341,2020.02.26.,"4,066세대(기타임대 108세대 포함, 총41동)",14억6천500,9억3천,11억4천800,11억5천,-21,55건,9건,6억7천,50,5억8천,40건
서울특별시,강동구,래미안힐스테이트고덕(소형),https://new.land.naver.com/complexes/108187,2016.12.29.,"3,658세대(기타임대 211세대 포함, 총51동)",14억3천,9억5천,11억6천,11억5천,-19,44건,0건,6억8천,52,6억,14건
서울특별시,강동구,강동LG자이(국평),https://new.land.naver.com/complexes/8755,2003.11.12.,596세대(12동),13억4천,9억6천,0,11억1천,-17,14건,0건,6억,44,5억5천,11건
서울특별시,강동구,고덕자이(소형),"https://new.land.naver.com/complexes?ms=37.5653,127.1561,16&e=RETAIL",2021.01.07.,"1,824세대(기타임대 75세대 포함, 총19동)",13억6천,8억3천,10억5천,11억,-19,16건,0건,6억4천,49,5억9천,9건
서울특별시,강동구,롯데캐슬퍼스트(소형),https://new.land.naver.com/complexes/22570,2008.09.25.,"3,226세대(40동)",13억2천,8억6천500,10억7천,11억,-16,15건,0건,6억5천,56,6억,4건
서울특별시,강동구,고덕주공9(국평),https://new.land.naver.com/complexes/1314,1985.11.25.,"1,320세대(14동)",14억7천500,9억5천,11억2천,10억9천500,-25,34건,19건,4억5천,36,4억1천,11건
서울특별시,강동구,래미안강동팰리스(소형),https://new.land.naver.com/complexes/107537,2017.07.31.,999세대(3동),14억9천500,10억2천,10억3천,10억8천,-27,16건,8건,7억2천,59,7억1천,2건
서울특별시,강동구,고덕센트럴IPARK(소형),,2019.12.30.,"1,745세대(기타임대 96세대 포함, 총19동)",14억5천,8억5천,10억7천,10억6천,-26,51건,30건,6억,48,5억5천,15건
서울특별시,강동구,신동아파밀리에(국평),https://new.land.naver.com/complexes/3317,2002.11.15.,357세대(3동),12억,8억9천,0,10억5천,-12,1건,0건,5억5천,52,5억5천,1건
서울특별시,강동구,강변그대가리버뷰(국평),https://new.land.naver.com/complexes/22537,2007.02.16.,225세대(5동),14억8천500,9억1천,9억5천,10억5천,-29,12건,4건,8억,58,6억7천,4건
